"ZIP Code","JENI Rank","JENI Percentile","JENI Category","Population","Supervisorial District","Service Planning Area","Neighborhood","System Involvement Percentile","System Involvement Category","Inequity Drivers Percentile","Inequity Drivers Category","Criminalization Risk Percentile","Criminalization Risk Category","% Black Population","% Latinx Population","% American Indian / Alaskan Native Population","% Native Hawaiian / Pacific Islander Population","% of Population without a High School Diploma","Below 200% Poverty Level Rate","Unemployment Rate","Mental Health Hospitalizations (per 1K)","Alcohol and Drug-Related Hospitalizations (per 1K)","Violent Crime Rate (per 1K)","Homelessness Rate (per 1K)"
"90290","266","4","Lowest","6689","3","2","Topanga","6.5","Lowest","4.3","Lowest","11.8","Lowest","1.3","10.4","2.9","0","2","10.8","5.1","4.2","0.9","0.4","0.7"
"91326","267","3.6","Lowest","36698","3","2","Porter Ranch","11.2","Lowest","6.8","Lowest","3.9","Lowest","4.5","13.8","0.7","0.7","6.8","12.5","3.9","3","0.6","0.7","1.3"
"90049","268","3.3","Lowest","36499","3","5","Brentwood","4.3","Lowest","2.5","Lowest","13.6","Lowest","1.8","5.8","0.9","0.1","2.3","12.3","4.5","3.1","0.9","1","2.6"
"91007","269","2.9","Lowest","33365","5","3","Arcadia","6.9","Lowest","10","Lowest","3.2","Lowest","1.9","12.7","0.3","0.4","8.8","21.9","4.2","3.8","0.4","1.3","0.9"
"90094","270","2.5","Lowest","10858","2","5","Playa Vista","4.7","Lowest","6.5","Lowest","9","Lowest","6.6","13.6","0.3","0.5","1.6","12.9","4.6","2","0.4","1.2","3.8"
"91436","271","2.2","Lowest","15481","3","2","Encino","2.5","Lowest","5.4","Lowest","10.4","Lowest","3.9","7.7","0.3","0.1","3.6","9.4","3.6","3.6","0.7","2.6","2.3"
"90077","272","1.8","Lowest","14125","3","5","Bel-Air","1.4","Lowest","13.6","Lowest","2.5","Lowest","2.7","11.6","0.6","0.4","3.5","9.3","10.4","3","0.8","0.6","0.2"
"90275","273","1.4","Lowest","40717","4","8","Rancho Palos Verdes","6.2","Lowest","3.6","Lowest","6.8","Lowest","1.9","11.2","0.6","1.4","2.7","10.7","4.1","3.3","1.1","0.7","0"
"91361","274","1.1","Lowest","6964","3","2","Westlake Village","5.1","Lowest","0.4","Lowest","12.2","Lowest","2.9","8.2","0.7","0.7","1.2","7.2","2.4","3.2","1.3","0.3","0"
"90274","275","0.7","Lowest","26618","4","8","Palos Verdes Estates","7.2","Lowest","0","Lowest","3.6","Lowest","1","8.2","0.1","0.3","1.1","9.1","3.2","3.2","1","0.7","0"
"90631","276","0.4","Lowest","7876","4","7","La Habra Heights","0.7","Lowest","1.8","Lowest","2.9","Lowest","0.2","34.5","0.9","0.2","6.9","12.2","3","3.3","0.9","0.3","0"
"91108","277","0","Lowest","13287","5","3","San Marino","3.3","Lowest","0.7","Lowest","0.4","Lowest","2","6.4","0.1","0.4","2.2","11.2","1.9","2.2","0.6","1","0.1"
